Validation_Set,Topics,Alpha,Beta,Coherence
50% Corpus,5,0.01,0.01,0.2541839240076053
50% Corpus,5,0.01,0.31,0.305935924482139
50% Corpus,5,0.01,0.61,0.3429157089955656
50% Corpus,5,0.01,0.9099999999999999,0.4167791425316585
50% Corpus,5,0.01,symmetric,0.2485877237444695
50% Corpus,5,0.31,0.01,0.283714056527149
50% Corpus,5,0.31,0.31,0.2747223268066702
50% Corpus,5,0.31,0.61,0.3387078791977839
50% Corpus,5,0.31,0.9099999999999999,0.33273344749856715
50% Corpus,5,0.31,symmetric,0.27430791611548777
50% Corpus,5,0.61,0.01,0.2818207014057582
50% Corpus,5,0.61,0.31,0.2942889908829372
50% Corpus,5,0.61,0.61,0.3210884222608509
50% Corpus,5,0.61,0.9099999999999999,0.3416079306404965
50% Corpus,5,0.61,symmetric,0.2913203901754645
50% Corpus,5,0.9099999999999999,0.01,0.290320851671505
50% Corpus,5,0.9099999999999999,0.31,0.2942514932193753
50% Corpus,5,0.9099999999999999,0.61,0.2917362282907484
50% Corpus,5,0.9099999999999999,0.9099999999999999,0.2972331810096017
50% Corpus,5,0.9099999999999999,symmetric,0.29680778596167007
50% Corpus,5,symmetric,0.01,0.27858478037256923
50% Corpus,5,symmetric,0.31,0.3066492207094047
50% Corpus,5,symmetric,0.61,0.3293424206348027
50% Corpus,5,symmetric,0.9099999999999999,0.3525119372122236
50% Corpus,5,symmetric,symmetric,0.2719738308833697
50% Corpus,5,asymmetric,0.01,0.2465120770887553
50% Corpus,5,asymmetric,0.31,0.2426607643580266
50% Corpus,5,asymmetric,0.61,0.2846508308870526
50% Corpus,5,asymmetric,0.9099999999999999,0.3164783468491672
50% Corpus,5,asymmetric,symmetric,0.23362522279359071
50% Corpus,10,0.01,0.01,0.2998139830523696
50% Corpus,10,0.01,0.31,0.3101735119577488
50% Corpus,10,0.01,0.61,0.3475859117028509
50% Corpus,10,0.01,0.9099999999999999,0.3548038881946455
50% Corpus,10,0.01,symmetric,0.30841423723244155
50% Corpus,10,0.31,0.01,0.28927641611331245
50% Corpus,10,0.31,0.31,0.30900974386429075
50% Corpus,10,0.31,0.61,0.3404142383529202
50% Corpus,10,0.31,0.9099999999999999,0.33744252839312844
50% Corpus,10,0.31,symmetric,0.30321137920427865
50% Corpus,10,0.61,0.01,0.30916113598507666
50% Corpus,10,0.61,0.31,0.3219815550022324
50% Corpus,10,0.61,0.61,0.32942175875160384
50% Corpus,10,0.61,0.9099999999999999,0.32676900068730624
50% Corpus,10,0.61,symmetric,0.31313108458786576
50% Corpus,10,0.9099999999999999,0.01,0.3269329116035241
50% Corpus,10,0.9099999999999999,0.31,0.3354236340725378
50% Corpus,10,0.9099999999999999,0.61,0.33166814462450106
50% Corpus,10,0.9099999999999999,0.9099999999999999,0.34730415033815215
50% Corpus,10,0.9099999999999999,symmetric,0.3143747931235212
50% Corpus,10,symmetric,0.01,0.29859041868286246
50% Corpus,10,symmetric,0.31,0.3250756675758387
50% Corpus,10,symmetric,0.61,0.3554095264883575
50% Corpus,10,symmetric,0.9099999999999999,0.3807221688044424
50% Corpus,10,symmetric,symmetric,0.3082436869633679
50% Corpus,10,asymmetric,0.01,0.2776981976615475
50% Corpus,10,asymmetric,0.31,0.25723213355835817
50% Corpus,10,asymmetric,0.61,0.3075579100291364
50% Corpus,10,asymmetric,0.9099999999999999,0.30646004679078054
50% Corpus,10,asymmetric,symmetric,0.2745936081542592
50% Corpus,15,0.01,0.01,0.29155838670836454
50% Corpus,15,0.01,0.31,0.313647568871089
50% Corpus,15,0.01,0.61,0.3338290096683882
50% Corpus,15,0.01,0.9099999999999999,0.3866691086419952
50% Corpus,15,0.01,symmetric,0.3079189312126825
50% Corpus,15,0.31,0.01,0.28753920345999817
50% Corpus,15,0.31,0.31,0.29577217221937574
50% Corpus,15,0.31,0.61,0.29285891352428123
50% Corpus,15,0.31,0.9099999999999999,0.29925571460260536
50% Corpus,15,0.31,symmetric,0.29201363492923027
50% Corpus,15,0.61,0.01,0.31266045717494634
50% Corpus,15,0.61,0.31,0.3269724921046033
50% Corpus,15,0.61,0.61,0.3280544392985291
50% Corpus,15,0.61,0.9099999999999999,0.3310509133783541
50% Corpus,15,0.61,symmetric,0.32875091947488433
50% Corpus,15,0.9099999999999999,0.01,0.3086000945184902
50% Corpus,15,0.9099999999999999,0.31,0.3352208384590759
50% Corpus,15,0.9099999999999999,0.61,0.339849054526664
50% Corpus,15,0.9099999999999999,0.9099999999999999,0.3630805562126906
50% Corpus,15,0.9099999999999999,symmetric,0.3133266790886659
50% Corpus,15,symmetric,0.01,0.2804637947102641
50% Corpus,15,symmetric,0.31,0.3049160951811634
50% Corpus,15,symmetric,0.61,0.3320737593348644
50% Corpus,15,symmetric,0.9099999999999999,0.34684106279005417
50% Corpus,15,symmetric,symmetric,0.29924790627281916
50% Corpus,15,asymmetric,0.01,0.27486555073547675
50% Corpus,15,asymmetric,0.31,0.2806513628413821
50% Corpus,15,asymmetric,0.61,0.3072867988675042
50% Corpus,15,asymmetric,0.9099999999999999,0.325095693383135
50% Corpus,15,asymmetric,symmetric,0.2815098124345117
100% Corpus,5,0.01,0.01,0.24877223318374747
